title,authors,publisher,publishedDate,description,genre,pageCount,averageRating,review_count,price,currency,language,popularity_score
Proud Eagle,Cassie Edwards,Signet Book,2004,"Makah Chief Proud Eagle has every reason to despise the Shaughnessys. Billie Shaughnessy's late father broke treaties, stole land, and caused the deaths of a number of the Owl Clan. They must find common ground before old hurts can be buried--and a mighty passion can take root. Original.",Fiction,340.0,0.0,0.0,0.0,Unknown,en,0.0
Racing Moon,Cassie Edwards,Signet Book,2003,"Commissioned to paint watercolors at a Louisiana cotton plantation, Irish artist Maureen O'Rourke spies Racing Moon, a chief of the Chitimacha. She longs to capture his beauty on canvas. But when the chief returns her admiration, their newfound passion ignites the rage of Racing Moon's bitterest enemy. Original.",Fiction,356.0,0.0,0.0,0.0,Unknown,en,0.0
New York Times Saturday Book Review Supplement,,Unknown,1968,Unknown,Books,938.0,0.0,0.0,0.0,Unknown,en,0.0
Contemporary Authors,,Contemporary Authors New Revis,2003-11,"These exciting and unique author profiles are essential to your holdings because sketches are entirely revised and up-to-date, and completely replace the original Contemporary Authors entries. A softcover cumulative index is published twice per year (included in subscription).",Biography & Autobiography,476.0,0.0,0.0,0.0,Unknown,en,0.0
Science-fiction Studies,,Unknown,1981,Unknown,Electronic journals,446.0,0.0,0.0,0.0,Unknown,en,0.0
Uniform Trade List Annual,,Unknown,1977,Unknown,American literature,2092.0,0.0,0.0,0.0,Unknown,en,0.0
That's what She Said,Rayna Green,Bloomington : Indiana University Press,1984,A collection of poetry and stories by sixteen Native American women authors.,Fiction,356.0,0.0,0.0,0.0,Unknown,en,0.0
Oklahoma Today,,Unknown,1998,Unknown,Oklahoma,1182.0,0.0,0.0,0.0,Unknown,en,0.0
A Study of Representative Indo-English Novelists,Uma Parameswaran,New Delhi : Vikas Publishing House,1976,"This Is A Critical Assessment Of The Contributions To Indo-English Writing Of Representative South Indian Novelists. The Novelists Are Divided Into Three Categories-The Imitators (T. Ramakrishna) Native-Talents Who Created An Indo-English Medium (R.K. Narayan), And Native-Aliens Who Became So Anglicized As To Alienate Themselves From The Heart Beat Of Indian Life. Raja Rao Comes In A Category All His Own One Who Realized The Full Of Potential Of Indian Writing In English.",Literary Criticism,194.0,0.0,0.0,0.0,Unknown,en,0.0
Clio,,Unknown,1988,Unknown,History,960.0,0.0,0.0,0.0,Unknown,en,0.0
Close Encounters with the Muse,Devarakonda Ramakrishna,Unknown,1986,Unknown,Indic literature (English),156.0,0.0,0.0,0.0,Unknown,en,0.0
The Indian Chief as Tragic Hero,Gordon Mitchell Sayre,Univ of North Carolina Press,2005,"Indian Chief as Tragic Hero: Native Resistance and the Literatures of America, from Moctezuma to Tecumseh",History,376.0,0.0,0.0,0.0,Unknown,en,0.0
Fire Cloud,Cassie Edwards,Unknown,2002,From the New York Times bestselling author of Midnight Falcon comes a new Indian romance set in the lush expanse of the Great Plains -an extraordinary tale of divided loyalties and passionate hearts...,Fiction,412.0,0.0,0.0,0.0,Unknown,en,0.0
Savage Shadows,Cassie Edwards,Leisure Books,1996,"In this classic Indian romance, Jae lives in seclusion in a mysterious region of Texas known as the Big Thicket. Even though she can outshoot, outwit and out-hunt most any man in the territory, Jae is alarmed by the dangerous desires a half-breed stranger arouses in her innocent heart.",Fiction,408.0,0.0,0.0,0.0,Unknown,en,0.0
Lakota Love Song,Madeline Baker,Price Stern Sloan,2002,Madeline Baker presents a new tale of two lovers-a young white woman and a fierce Lakota warrior-whose passion is threatened by the hostility and fear that is sweeping their land.,Fiction,356.0,0.0,0.0,0.0,Unknown,en,0.0
Radical Politics of Indian Love,Rachita Ramya,Unknown,2019-08-17,"'Radical Politics of Indian Love' is a collection of short stories of fiction in an Indian political landscape.India is a land of unity in diversity, organized chaos, but most importantly, India is a land of love. These bitter-sweet stories on how love co-exists in a backdrop of cultural differences, age-old traditions, honor-killings, and political dynamics can be inspirational and relevant. 'Treesome', 'Modern Indian Widow', 'The writer, the lover and the doctor' are stories of love that thrive in an era of conflict. 'No Man's Refuge' is a science-fiction story that touches on the future of the South Asian war zones.'The Bollywood Hero' and 'The Royal Bengal Tigress' are stories of romance and friendship that need to be told.",,150.0,0.0,0.0,0.0,Unknown,en,0.0
Forbidden Kisses in the Goddess Temple,Ramadevi Sharma,Unknown,2025-08-19,"Imagine your biggest concern as a temple acolyte is not getting caught stealing sweets from the sacred kitchen-until a cursed prince stumbles into your sanctuary in the middle of the night. That's how Anisha's problem begins. Or perhaps her adventure? As if hiding a sarcastic, ridiculously handsome royal fugitive weren't enough, Anisha must also deal with a terrifying curse that pulses beneath Ravi's skin in the form of dark veins. The solution? A breakneck journey through the jungle to a forgotten temple, accompanied by a palace servant-turned-spy and a mouthy street urchin. Between marketplace chases, palace masquerade balls, and trying not to get pelted by monkeys, Anisha and Ravi discover their greatest challenge might not be breaking the curse-but avoiding falling for each other. A story full of magic, self-deprecating humor, and the chaos that ensues when sacred vows meet royal intrigue. Perfect for fans of ""The Henna Artist"" and ""The Night Tiger.""",Fiction,0.0,0.0,0.0,0.0,Unknown,en,0.0
Legally in Love,Prasenjeet Kumar,Createspace Independent Publishing Platform,2018-07-24,"From the Amazon #1 Best Selling Author Prasenjeet Kumar comes his debut Legal Romance Novel that will bring a smile to your face and tears to your eyes. Meet Amit Verma, a 27 year-old dreamy corporate lawyer looking for a job in Delhi, India. One morning, while going through his mobile phone contact list, he comes across the entry for Naina Karnad, a girl who stole his heart some two years back in his former workplace. The problem: He has not dialled her number in a year. Will they ever meet again? Will their love life survive the corporate intrigues and the recession? ""Legally in love"" is a powerful tale of two souls battling their way through the ruthless world of corporate office politics to discovering their true love and passion. If you love reading clean and wholesome romance, buy a copy now. And enjoy!",,198.0,0.0,0.0,0.0,Unknown,en,0.0
Ten Western Romance Books (With Links to Free Audio Books),"Honoré Morrow, Grace Livingston Hill, Zane Grey, B.M. Bower, William MacLeod Raine, Elinore Pruitt Stewart",Sunsong Creations,Unknown,Unknown,Fiction,2875.0,0.0,0.0,0.99,USD,en,0.0
Savage Hope,Cassie Edwards,Unknown,2004,"A New York Times Bestselling AuthorWith help from the guiding beams of the local lighthouse, the Makah Indians of the Pacific Northwest made a successful living from the sea. Chief Bright Arrow was proud of the quiet, peaceful life he led with his people. But his idyllic world changed the day he passed by a frozen pond and saw a golden-haired angel dancing across the ice as if by magic - until, after a loud crack, the young woman fell into the frigid water.",Fiction,390.0,0.0,0.0,0.0,Unknown,en,0.0
Ram C/o Anandhi,Akhil P. Dharmajan,Harper Collins,2025-01-20,"Winner of the Sahitya Akademi Yuva Puraskar 2025 in Malayalam MOST ANTICIPATED ROMANCE OF 2025 Amazon India's Top 5 Most Anticipated Reads of 2025 300,000+ Copies Sold in Malayalam #1 Bestseller in Contemporary Indian Fiction First Time in English! THEIR STORY WILL STEAL YOUR HEART... When aspiring filmmaker Ram leaves peaceful Alleppey for bustling Chennai, he dreams of making movies and writing novels. Instead, he meets Anandhi. She's fierce. He's ambitious. She's a receptionist at his film school. He's the student who drives her crazy. Neither expects to fall in love. But as their hostility turns to passion, Ram and Anandhi face impossible choices. With social barriers, and their own fears standing in the way, they'll have to decide if their love is worth fighting for. Perfect for fans of: The Hating Game 2 States Pride & Prejudice Chennai Express Family Man A sweeping enemies-to-lovers story about dreams, destiny, and the courage to love without limits.",Fiction,297.0,0.0,0.0,0.0,Unknown,en,0.0
"Publishers' Circular and General Record of British and Foreign Literature, and Booksellers' Record",,Unknown,Unknown,Unknown,,1996.0,0.0,0.0,0.0,Unknown,en,0.0
Thunder Heart,Cassie Edwards,NAL,1999,"Against his will, Thunder Heart guided the Ponca tribe on a forced march from the Black Hills of South Dakota to a reservation in Missouri. Now, he must protect his people from whatever dangers await them in their new home... Against all odds, young Dede Martin thought she had found a good man to protect her fatherless boy. But she soon realises her mistake in trusting a man with hatred in his heart. For when he attacks the nearby Ponca, Dede and her son are kidnapped in revenge... Against her fears, Dede soon melts with passion for her captor, Thunder Heart, whose fierce anger gives way to blazing desire. He is a man whose strength brings her courage, a man whose heart is pure and true, a man whose love sets her free... 'Cassie Edwards once again shines as the master of Indian folklore, history, and romantic intrigue... A winner!' Rendezvous",Missouri,0.0,0.0,0.0,0.0,Unknown,en,0.0
Publishers' Circular and Booksellers' Record of British and Foreign Literature,,Unknown,1886,Unknown,Bibliography,1890.0,0.0,0.0,0.0,Unknown,en,0.0
Swift Horse,Cassie Edwards,Signet Book,2005,"After witnessing the murder of her parents by a on-eyed Indian, Marsha Eveland will never find forgiveness. But her brother announces he's going to marry an Indian woman. Can she keep hating the Indians or can she fall in love with one of them?",Fiction,338.0,0.0,0.0,0.0,Unknown,en,0.0
